"peopleNumber","cinema","address","tele","lng","lat"
620983.00,"萧山德纳IMAX影城","市心中路123号旺角城新天地8号楼4-5层/市心中路268号银隆百货B座5楼","0571-82901111",120.26,30.18
620323.00,"中视国际影城IMAX(国兴店)","国兴大道68号国秀城二楼","0898-652371110898-65238111",110.36,20.01
617028.00,"万达国际影城(哈西店)","哈西地区中兴大道与哈西大街交汇处万达广场3层","0451-88882008",101.07,27.12
614439.00,"SFC上影影城(永华店)","虹桥路1号港汇广场6楼（华山路口）","021-64076622400-622-2046",121.48,31.22
613948.00,"万达国际影城(红谷滩店)","会展路999号万达广场3层（A1栋）","0791-83833801",107.04,25.28
607428.00,"UME国际影城","中山东路39号勒泰中心5层","0311-66767766",107.39,29.70
604971.00,"太平洋影城(王府井店)","总府路15号","400-000-0260",121.74,42.06
604039.00,"青宫电影城","北京路312号青年文化宫二楼（近广百百货）","020-83329918",113.26,23.12
602950.00,"广州ua花城汇影院","珠江新城花城广场花城汇B1楼1130铺（花城广场入口靠近黄埔大道）","400-618-3348",113.32,23.12
601121.00,"新街口国际影城","中山路18号德基广场7楼","025-84797700025-84797722",120.36,30.22
598190.00,"万达国际影城(青秀万达广场店)","东葛路延长线青秀万达广场5楼","0771-5732682",108.32,22.81
595765.00,"长春万达国际影城(红旗街店)","红旗街万达广场4楼（省医院旁）","0431-81936699",125.32,43.88
590477.00,"万达国际影城(新街口店)","洪武路88号新街口万达广场4层","025-68132777",113.25,23.14
589905.00,"万达国际影城(汉街店)","楚河汉街1号万达广场5楼","027-87713677",114.34,30.55
587765.00,"UME国际影城(双井店)","东三环中路65号富力广场6楼（双井桥北）","010-59037171010-59037373",107.39,29.70
587334.00,"横店电影城(新佳丽店)","中山大道818号王府井百货/新佳丽广场7楼","027-51306912",107.73,29.86
584691.00,"UME国际影城(北城天街店)","北城天街（原洋河路）8号北城天街购物广场B区5F","023-67701166",107.39,29.70
584435.00,"万达国际影城(高新店)","高新园区黄浦路500号万达广场4层","0411-39983999",126.54,43.81
583490.00,"金逸影城(荟聚IMAX店)","欣宁街荟聚购物中心3层（地铁4号线西红门站A西出口站）","010-60200580010-60200585",120.36,36.10
583239.00,"惠州橙天嘉禾影城(华贸店)","江北文昌一路华贸天地5楼","0752-7190555",114.41,23.10
581640.00,"北京星美国际影城(金源店)","远大路1号金源时代购物中心5楼东首（近蓝靛厂北路）","010-88878696",116.45,39.91
575607.00,"金逸影城(大悦城IMAX店)","南门外大街2号大悦城4层","022-58106700",120.36,36.10
572556.00,"UME国际影城(大坪时代天街店)","长江二路174号龙湖时代购物广场天街B馆5F","023-68505500",107.39,29.70
565658.00,"成都万达国际影城(SM店)","二环路东二段29号SM广场4层","028-66769860",104.17,30.80
561810.00,"万达国际影城(河西店)","江东中路98号建邺万达广场娱乐楼4楼","025-68132777",117.25,39.12
559294.00,"万达国际影城(悦荟店)","青云街18号万达广场B座3楼","0771-2635778",114.29,30.57
558828.00,"福州万达国际影城(仓山店)","浦上大道万达广场A座4F","0591-88255688",119.29,26.07
555026.00,"金逸影城(宝龙IMAX店)","工业路193号宝龙城市广场5楼（万象城对面）","0591-838222300591-83822220",120.36,36.10
553500.00,"飞扬影城(乐峰店)","工业大道北106-108号楼乐峰广场L2楼（地铁8号线沙园地铁站A出口）","020-89303919020-89303909",113.32,23.13
553371.00,"万达国际影城(重庆路店)","重庆路1268号万达商业广场4楼（近西安大路）","400-080-6060",106.56,29.52
548026.00,"广州中影国际影城(太阳新天地店)","马场路36号太阳新天地八楼（近中国联通）","020-37260533",113.34,23.12
545772.00,"万达影城(大明宫店)","太华北路369号万达广场","029-85450088",113.90,22.56
545019.00,"万达电影城(宝山店)","一二八纪念路936号5楼（万达广场2号门直达电梯可到）","021-31150880",121.44,31.32
544677.00,"金逸影城(龙之梦IMAX店)","西江湾路388号凯德龙之梦B座6-7楼（近虹口足球场）","021-36538850",120.36,36.10
542951.00,"长春吉视影城(迅驰店)","博学路1555号迅驰广场5层","0431-81811777",125.36,43.93
541785.00,"中影国际影城(昌平永旺店)","北清路1号永旺国际商城3楼","010-88177970",116.28,39.89
539190.00,"万达国际电影城(菱角湖店)","唐家墩路5号菱角湖万达广场4楼（新华西路口）","027-85873677",113.25,23.14
534465.00,"横店影城(中贸店)","中贸广场商业楼15号楼，1单元，5楼（南稍门公交车站边）","029-88669090",114.03,32.97
533007.00,"中影国际影城(西溪印象城店)","五常大道一号西溪印象城3楼（西溪湿地洪园）","0571-88680672",116.28,39.88
532677.00,"万达国际影城(竹山路万达广场店)","竹山路68号万达广场5楼","025-68132777",110.80,32.66
531566.00,"橙天嘉禾影城(停机坪购物广场店)","机场路云霄街5号停机坪购物广场3楼（近地铁白云公园A出口）","020-36077783",112.36,25.58
530669.00,"沃美影城(万象城店)","民族大道青秀路路口万象城5楼","400-681-9819",117.27,31.86
529813.00,"万达国际影城(中原万达店)","中原路秦岭路交叉口万达广场娱乐楼5楼","0371-86671178",113.60,34.74
529149.00,"万达国际影城(大融城店)","观音桥步行街8号附5号6-1、7-1（大融城6F-7F）","023-88195007",108.86,25.78
528574.00,"太原万达影城(龙湖店)","解放路175号万达广场1号门4层","0351-2335999",112.56,37.88
528525.00,"中华广场电影城","中山三路33号中华广场8楼（近地王广场）","020-83739491",110.35,21.26
526988.00,"万达影城(湖里万达广场店)","仙岳路4666号万达广场四层","0592-2366999",118.17,24.50
526164.00,"华臣影城(西安路店)","西安路123号天兴罗斯福国际中心4F","0411-83899114",108.98,34.24
525063.00,"金逸影城IMAX(光美无锡荟聚店)","东亭街道团结大道3号（荟聚购物中心四楼）","0510-88258866",120.29,31.53
521940.00,"北京新影联·华谊兄弟影院(望京店)","广顺北大街16号望京华彩商业中心B1a","010-57620488",116.46,40.01
521202.00,"万达国际影城(李家村店)","雁塔路北段8号万达商业广场4楼","029-85450088",113.25,23.14
520189.00,"万达影城(东城店)","东纵路主山村万达广场四层","0769-89888888",116.22,39.90
517784.00,"万达国际影城(经开万达广场店)","经济技术开发区辽河西路117号万达广场四楼","0411-88173555",114.17,30.50
516948.00,"中影国际影城(南山欢乐海岸店)","白石路东8号欢乐海岸曲水湾2栋A区","0755-86531893",113.99,22.52
515025.00,"万达国际影城(万国大都会店)","大同路26号万国大都会8层","0898-36616668",110.33,20.03
513769.00,"星美国际影城(成都环球店)","天府大道北段1700号新世纪环球购物中心四层","028-68730707",104.06,30.56
513646.00,"郑州耀莱成龙国际影城(锦艺店)","桐柏路棉纺路交叉口向西200米锦艺城4楼（王府井西）","0371-55132288",113.60,34.76
511255.00,"万达国际影城(赛德广场店)","东南湖大路赛德购物广场7层","0431-88780999",125.37,43.85
506097.00,"金逸影城(销品茂IMAX店)","徐东大街18号销品茂5楼","027-68898561",120.36,36.10
501615.00,"万达国际电影城(石家庄万达影城)","槐安东路与建华南大街交口西北角（裕华万达广场3楼）","0311-67795666",114.54,38.02
498981.00,"黄石武商国际电影城","武汉路99号武商黄石购物中心7楼（黄石饭店对面）","0714-3293008",115.08,30.20
498172.00,"万达国际影城(万达广场店)","老海埂路万达广场内","0871-65222660",118.55,24.76
497334.00,"UME国际影城","宝岗大道498号广百新一城六楼","020-84257979",107.39,29.70
495079.00,"洛阳耀莱成龙国际影城(中州中路店)","中州中路建业凯旋广场7层","0379-60691266",112.45,34.67
494172.00,"保利国际影城(保利文化广场店)","文心五路保利文化广场B区3楼","0755-86287237",113.93,22.51
493259.00,"中影国际影城(莱蒙店)","莱蒙都会商业区3楼5-301号","0519-86805683",116.28,39.88
490952.00,"UME国际影城(九龙坡店)","杨家坪珠江路48号龙湖西城天街购物广场3F—26号","023-68126066",106.51,29.51
490910.00,"万达国际影城(宽城店)","北人民大街155号万达广场4层","0431-89806999",125.32,43.88
490830.00,"华谊兄弟影院(洋桥店)","马家堡东路101号院10号银泰百货6层","010-56530888",116.46,40.01
490351.00,"奥斯卡大上海国际影城","东太康路人民路大上海城A区6楼（百货大楼东侧）","0371-620011880371-62001288",121.35,31.09
490150.00,"星光影城(亚新旗舰店)","长寿路401号亚新生活广场4楼","021-62881357",91.10,31.58
489650.00,"奥斯卡赛高国际影城(赛高街区店)","凤城五路与未央路交叉口赛高街区4楼（近地铁2号线凤城五路站）","400-899-9527",108.94,34.32
485987.00,"杭州新远国际影城(西湖文化广场店)","中山北路581号朝晖路口西湖文化广场C区8号","0571-850010990571-85001088",120.16,30.27
485734.00,"天河电影城(天娱广场店)","天河路623号天娱广场5楼（近地铁3号线岗顶站A出口）","020-87576722020-87576723",113.33,23.13
484924.00,"CGV星聚汇影城(万象城店)","山东路6号甲华润万象城5楼","0532-55575656",117.27,31.86
484765.00,"万达国际影城(津滨大道店)","津滨大道53号万达广场娱乐楼4楼（泰兴南路口）","400-080-6060",117.75,39.01
484441.00,"广州华影梅花园影城","广州大道北28号梅花园商业广场5楼","020-37322088",113.32,23.17
480598.00,"成都峨影1958电影城","清江东路360号（近成温立交桥）","028-62322261",104.02,30.67
479519.00,"万达国际影城(万达广场店)","济川东路226号万达广场娱乐楼3楼","0523-80639690",118.55,24.76
479039.00,"郑州耀莱成龙国际影城(建业店)","中州大道建业置地商城2-4楼（近郑汴路）","0371-88817771",113.60,34.76
478971.00,"万达国际影城(衡山店)","衡山路17-1号万达广场四层","0451-88882008",112.60,26.89
478767.00,"万达国际影城(万达广场店)","新华东街26号万达广场4楼","0471-3371555",118.55,24.76
477775.00,"万达国际影城(万博广场店)","朝阳北大街99号万博广场娱乐楼5层","0312-6095888",113.66,34.74
477649.00,"万达国际电影城(沌口经开店)","东风大道111号经开万达广场3楼","027-84633677",114.17,30.47
476939.00,"万达电影城(周浦店)","年家浜路518号万达广场4楼（近沪南公路）","021-38230688021-38230668",114.29,30.57
475217.00,"昆明万达国际影城(同德店)","北京路与白云路交叉路口6层-7层","0871-65222660",102.71,25.00
473908.00,"西安万达国际影城(解放路店)","解放路111号万达广场4楼","029-85450088",108.96,34.26
472726.00,"成都339影城(原新时代影城高塔店)","猛追湾街94号华润欢乐颂4楼，339电视塔下，府南河旁","028-83525339",103.82,30.71
472311.00,"万达国际影城(万州店)","北滨大道二段998号5幢附9号万达广场四层","023-88195007",106.56,29.52
471760.00,"幸福蓝海国际影城(九洲新世界店)","兰陵北路999号九洲新世界5楼","0519-83850898",114.97,27.07
470653.00,"万达国际影城(锦山大街店)","锦山大街298号万达广场4F","0415-3865555",131.75,47.01
470379.00,"万达影城(包头店)","青年路26万达广场娱乐楼4楼","0472-5198888",109.85,40.65
470215.00,"万达电影城(SM广场店)","嘉禾路399号SM新生活广场B座3层","0592-5379808",114.29,30.57
470047.00,"金逸IMAX影城(瑞都店)","胜太路地铁口瑞都广场2楼和4楼","025-66686966",106.28,30.33
468373.00,"上海星美国际影城(正大店)","陆家嘴西路168号正大广场8楼（近东方明珠）","021-50478026",121.39,31.07
467246.00,"万达国际影城(八一店)","八一大道333号万达广场4层","0791-86311113400-080-6060",108.98,34.22
466711.00,"中影国际影城(丰台永旺店)","丰葆路永旺梦乐城4层","010-88177970",116.29,39.81
466113.00,"奥斯卡巨幕影城(人民中路店)","人民中路11号正兴广场5层","029-33239999",120.15,32.48
465710.00,"金逸影城(影视中心店)","木渎镇金山南路288号苏州国际影视娱乐城1幢4楼","0512-669020110512-66902010",120.36,36.10
465160.00,"博纳国际影城(银泰城店)","鱼峰路17号银泰城6楼","0772-3861886",114.22,22.69
464392.00,"天籁巨幕影院","中心广场漓江大瀑布饭店旁（原凯撒5楼）","0773-22022110773-2202233",118.03,24.48
462303.00,"万达国际影城(万达广场店)","新华路50号万达广场4层（近明珠大厦）","0316-5266799",118.55,24.76
462286.00,"万达国际影城(万达广场店)","宝洲街浦西万达广场4层","0595-28586688",118.55,24.76
460705.00,"时代德纳国际影城","劳动路518号东吴银泰城五楼","0572-2277555",104.08,30.64
458708.00,"长沙万达国际影城(解放路店)","黄兴南路443号万达购物广场4楼（近解放西路）","0731-82239608-8826",112.93,28.21
457583.00,"中影国际影城(杭州永旺店)","良渚街道古墩路1888号T301","0571-89003191",120.05,30.35
457274.00,"千金影城(中心店)","建设中路7号（近电信大楼）","0731-282719890731-28271977",116.03,33.83
457028.00,"深圳卢米埃华强北九方IMAX影城","中航路1号华强北九方购物中心4-6楼","0755-23613657",114.05,22.54
454653.00,"星美国际影城(花果园购物中心店)","花果园大街花果园购物中心一楼","0851-85911158",110.68,32.62
454644.00,"UME国际影城(安贞店)","北三环安贞桥环球贸易中心E座","010-58257733",107.39,29.70
453882.00,"万达国际影城(财富广场店)","重庆街1367号吉林财富广场5楼","0432-68196111",119.86,31.43
453568.00,"万达国际影城(长虹店)","跃进路4号长虹国际城4楼","0816-8118999",113.25,23.14
452457.00,"城市广场摩尔国际电影城(后湖店)","后湖大道111号汉口城市广场A座3楼","027-82855588",120.25,31.89
451539.00,"中影国际影城(大唐西市店)","劳动南路大唐西市购物中心三楼","029-82278333",122.22,40.61
450962.00,"卢米埃影城(长楹天街IMAX店)","朝阳北路长楹天街购物中心东区5F-09","15810617506",116.58,39.92
449454.00,"卢米埃影城(北城天街店)","蓉北商贸大道一段21号龙湖天街购物广场5层","028-83107826",112.71,38.73
448131.00,"横店电影院(北金店)","文化路与北环路交叉口瀚海北金商业广场4楼","0371-55097778",114.03,32.97
447552.00,"首都电影院(悦荟万科广场店)","南环路10号院1号楼悦荟万科广场8层","010-60749993-601",114.29,30.57
447106.00,"万达国际影城(金凤万达广场)","正源北街22号（金凤万达广场4楼）","0951-5088555",106.24,38.48
447003.00,"华谊兄弟影院(光谷IMAX店)","关山大道光谷天地F1区3楼","027-51779999",116.46,40.01
446846.00,"欢乐小马电影城","长安中路36号陕西省军区A区军人服务社商业楼8层","029-88780818029-89357898",108.94,34.21
446124.00,"CGV星聚汇影城(武汉光谷店)","光谷步行街4期德国风情街8号楼3楼","027-87101656",114.39,30.50
445297.00,"北京金逸影城(朝阳大悦城IMAX店)","朝阳北路101号朝阳大悦城商场8层","010-85517099",116.51,39.92
444798.00,"万达国际影城(龙德广场店)","立汤路186号龙德广场5层","400-609-0090",116.41,40.06
444673.00,"万达影城(长安店)","东门中路1号万达广场4楼","0769-89888888-2",108.97,34.31
444566.00,"上海世纪友谊影城","沪闵路7250号友谊南方商城9楼（地铁一号线莲花站对面）","021-64120260021-64120804",121.40,31.13
442758.00,"东莞光大比高电影城(南城店)","景湖时代城彩怡百货三楼","0769-26981889",113.75,22.99
442492.00,"万达国际影城(通州万达店)","新华西街58号万达广场1号楼5层（厨艺宾馆对面）","400-609-0090",120.86,32.03
441978.00,"博纳国际影城(亿合城店)","山东路235号亿合城四层","0411-39743344",114.22,22.69
441509.00,"万达国际影城(CBD店)","建国路93号万达广场B座3层","010-59603399",111.28,30.70
441057.00,"万达影城(华南MALL店)","万江区万道路华南MALL，D区3楼","0769-224302060769-22430191",113.90,22.56
440101.00,"CGV星聚汇影城(金银潭店)","金银潭大道永旺梦乐城A区3楼","027-85755990",106.30,26.39
440032.00,"奥斯卡影城(昊元上品店)","西外环北路989号友好时尚购物城8楼","0991-6261155",87.53,43.85
440022.00,"万达国际影城(石景山店)","石景山路乙18号万达广场娱乐楼4楼","400-609-0090",116.22,39.90
438507.00,"万达国际影城(鄞州店)","四明中路999号万达商业广场（金座）三楼","0574-88086688",121.54,29.82
437208.00,"民族影城","民族大道150号（金旺角集团旁）","0771-5786680",114.28,30.56
436728.00,"沃美影城(回龙观店)","回龙观同成街华联购物中心四楼（城铁回龙观站出口对面）","010-56455166",95.58,30.87
436711.00,"佳映国际影城(滨江道店)","滨江道300号欧乐时尚广场6-7层","022-27183339",120.09,30.29
435908.00,"中影·国际影城(胜利南路店)","胜利南路42号大商新玛特总店5楼（近市府广场）","0412-89999660412-8999123",116.28,39.88
435446.00,"横店电影城","黄兴中路王府井百货10楼","0731-822494000731-84416888",107.73,29.86
435363.00,"耀莱成龙国际影城(空港店)","西航港街道锦华路二段166号北京华联空港店五层","028-89461133",103.99,30.51
434703.00,"万达国际影城(台东店)","台东三路63号万达购物广场四楼","0532-83625656",113.25,23.14
434510.00,"万达国际影城(金融街店)","鳌峰路金融街广场4楼（近曙光路）","0591-883526880591-85264320",121.47,31.19
434292.00,"卢米埃影城(魅力城店)","万科路9号凯德广场魅力城4层","028-81445101",113.84,22.76
433033.00,"长沙CGV星聚汇影城(德思勤店)","湘府中路18号德思勤·四季汇购物中心L5","0731-85119208",112.95,28.22
432737.00,"万达国际影城(集美万达广场店)","银江路137号万达广场娱乐楼4楼（近集美大学）","0592-3603888",118.17,24.50
432540.00,"保定华隶影城","裕华西路555号华创国际广场（东区）三层","0312-2022123",115.48,38.85
431858.00,"丽水万地国际影城","花园路38号万地广场南4楼","0578-2131666",119.92,28.46
431148.00,"飞扬影城(高德置地店)","珠江东路14号高德置地冬广场5楼501铺","020-85596002",113.32,23.13
430553.00,"万达国际影城(滨湖梁溪店)","梁溪路35号万达广场娱乐楼3层","0510-85878686",119.85,31.36
430476.00,"CGV星聚汇影城(赣州万象城店)","章江新区新赣州大道华润中心万象城301商铺","0797-8112111",114.92,25.81
430429.00,"左岸电影城(石狮德辉广场店)","八七路繁华商业口岸德辉广场七楼","0595-88991616",118.65,24.73
429657.00,"嘉华国际影城(学清路店)","学清路甲8号圣熙8号购物中心5层西侧（学清路）","010-82732228",106.82,28.13
428167.00,"万达影城(万达广场店)","淮河路万达广场四楼","0558-3925888",113.81,23.27
427658.00,"金逸影城(紫阳巨幕店)","长乐北路157号（紫阳商贸中心）大润发超市5层","0591-87955735",108.53,32.52
427344.00,"万达国际影城(唐山路南万达广场店)","新华东道与文化路交叉口万达广场D场四层","0315-5786688",118.18,39.62
426727.00,"中瑞国际影城","工业路三迪广场红星美凯龙7层","400-012-5000",119.52,35.39
424483.00,"万达影城(世茂店)","泉城路26号世茂广场影院楼3-5层（原世茂国际影院）","0531-55578888",113.90,22.56
423232.00,"奥斯卡新华影城(新华路店)","新华路与工业路交汇处新华城市广场6楼","0377-61698080",113.30,33.73
423189.00,"万达国际影城(南坪店)","江南大道8号万达广场娱乐楼3F（近珊瑚路）","023-88195007",113.25,23.14
422410.00,"万达国际影城(武进店)","湖塘万达广场4楼","0519-68026600",119.97,31.81
421740.00,"中视国际影城IMAX(港湾城店)","榆亚大道136号1号港湾城4楼","0898-887071110898-88706111",122.43,36.86
421301.00,"万达影城(开福店)","湘江中路万达广场5楼","0731-88599588",112.97,28.19
421070.00,"银兴乐天影城(万松园西园店)","万松园路100号西园商业街3楼（近武汉外国语学校）","027-85801665",118.72,27.39
421036.00,"保利DMC合肥国际影城(之心城商业中心店)","长江西路与肥西路交叉口之心城商业中心7楼","0551-65817130",117.25,31.85
420461.00,"中影今典国际影城(深圳福田深国投店)","农林路69号深国投广场三楼","0755-82531106",114.01,22.54
420215.00,"苏艺影城(艺术中心店)","观枫街1号","400-828-8299",116.72,39.95
419861.00,"海上明珠国际影城(环球港店)","中山北路3300号环球港4楼（地铁金沙江路站）","021-60670960",120.57,32.10
418504.00,"广州金逸影城(太阳城店)","广州大道北1811号嘉裕太阳城广场3楼（南方医院正对面）","020-36732288",113.27,23.08
418124.00,"百丽宫影城(太古里店)","中纱帽街8号成都远洋太古里负一层M048号","028-83579030",126.65,45.78
417938.00,"万达国际影城(广场店)","武德路，荆州万达广场4层","0716-4088555",113.78,22.80
417928.00,"广州华影万晟国际影城","逢源路153号3-5楼（长寿路地铁站恒宝广场北门宝源路红绿灯右转50米）","020-81236302",113.23,23.12
417048.00,"保利国际影城(天一店)","药行街169号亚细亚商城A区7楼（莱迪时尚广场7楼）","0574-55330066",113.93,22.51
416531.00,"金逸影城(IMAX店)","南坪协信星光时代广场L2-L3楼","023-62939990023-62627766023-62627755",120.36,36.10
416164.00,"CGV星聚汇影城(奥山世纪店)","和平大道奥山世纪广场三楼","027-86370388",88.01,47.67
415223.00,"CGV星聚汇影城(东二环店)","塔头路与连江路交汇处东二环泰禾广场6层岳峰镇竹屿路6号东二环泰禾广场6-7层","0591-28026000",115.80,24.11
414932.00,"中影国际影城中环店(中环店)","繁华大道和翡翠路交叉口中环购物中心3楼","0551-658607660551-65860622",116.28,39.88
414299.00,"中影星美影城IMAX(鼎盛广场店)","人民大道南116号鼎盛广场4楼","0759-2121886",110.40,21.21
413550.00,"奥斯卡升龙国际影城","大学路政通路交叉口向西100米路北升龙国际中心A区2楼2033号","0371-68865885",113.64,34.72
412853.00,"大连CGV星聚汇影城(柏威年店)","中山路129-3号柏威年购物广场4层","0411-39612111",121.62,38.91
412846.00,"万达影城(宁德店)","天湖东路1号万达广场4层","0593-2312555",119.53,26.65
412451.00,"幸福蓝海国际影城(西安店)","金花南路6号立丰国际购物广场九层","029-82630010",108.99,34.24
412350.00,"万达影城(徐州云龙万达广场店)","民祥园路与和平大道交叉口万达广场","0516-68000068",117.24,34.25
412146.00,"橙天嘉禾影城(印象城店)","现代大道1699号印象城购物中心3-4楼（近苏嘉杭高速）","0512-69566566",112.36,25.58
411089.00,"万达国际影城IMAX(万达广场店)","桂澜北路28号南海万达广场4F","0757-81688000",118.55,24.76
410967.00,"中影国际影城(青云谱凯德店)","解放西路81号凯德广场城南苑4楼","0791-87187900",115.91,28.60
410702.00,"星美国际影城(万科广场店)","龙翔大道7188号万科广场L3-24（吉祥地铁站C出口）","-755",114.24,22.71
409755.00,"金逸影城(王家湾店)","龙阳大道特6号摩尔城C区5楼","027-84459599",120.36,36.10
409703.00,"SFC上海影城","新华路160号（番禺路口）","021-62806088",121.42,31.20
408725.00,"上海上影CGV(莘庄店)","都市路5001号仲盛世界商城4楼（近莘庄地铁南广场）","021-34633318",121.47,31.23
408515.00,"绍兴卢米埃绍兴银泰影城(解放南路店)","解放南路777号绍兴金帝银泰城1墥4F001","0575-89111462-801",120.58,30.02
407713.00,"万达国际影城(万邦时代广场店)","天汉大道999号万邦时代广场六楼","0916-26311110916-2160188",116.43,39.91
407523.00,"万达国际影城(马鞍山路店)","马鞍山路130号万达广场娱乐楼4层","0551-62891001",118.48,31.62
407135.00,"博纳国际影城(皇庭店)","福华三路皇庭广场b1-3（会展中心c出口）","0755-23819800",114.22,22.69
406760.00,"庆春电影城","田林路140号越界创意园区15幢2楼（近苍梧路）","021-33676660",120.19,30.25
406344.00,"哈艺时尚影城(海珠赤岗店)","石榴岗路10号（生物工程大厦1楼）","020-29177888",113.26,23.21
406268.00,"万达国际影城(襄阳店)","长虹北路9号，万达广场娱乐楼3楼3层","0710-3722999-8880710-3722999-8180710-3722999-810",112.13,32.06
405501.00,"百丽宫影城(环贸iapm店)","淮海中路999号环贸广场L6-601t","021-51093988",116.41,39.96
405218.00,"海岸影城","文心五路33号海岸城购物中心3楼（近海德三道）","0755-89829875",113.93,22.51
404800.00,"翠苑电影大世界","文一路298号物美超市6楼（近万塘路）","0571-88922960",120.12,30.29
404655.00,"万达国际影城(万达广场店)","翔宇中道169号万达广场娱乐楼3层","0517-83349999",118.55,24.76
404122.00,"奥斯卡阳光国际影城(阳光城店)","博士路60号阳光天地购物中心4楼","029-81022288",113.90,22.78
403857.00,"中影国际影城(天津西青永旺店)","中北工业园阜盛道1号永旺购物中心3楼","022-87195803022-87195804",117.09,39.14
403670.00,"保利国际影城(凯德MALL·大峡谷店)","南三环西路16号凯德大峡谷购物中心5楼","010-87578536010-87578529010-87578530010-87578531",113.93,22.51
403383.00,"奥斯卡盛龙国际影城(盛龙广场店)","未央路80号盛龙广场4F","029-84561888",108.92,34.25
403136.00,"万达国际影城(大营坡中大广场店)","贵乌北路187号大营坡中大国际广场三层","0851-8854114315180879391",102.79,23.96
402935.00,"横店电影城(首义汇店)","张之洞路南国首义汇广场南三楼","027-88111120027-88111130027-88111125",107.73,29.86
402832.00,"金逸影城(银丰广场店)","民主南路大润发商场5楼","0775-3116000",120.36,36.10
402794.00,"博纳国际影城(北仑店)","新碶街道中河路399号银泰百货5层","0574-86855599",121.83,29.89
401694.00,"中影佰纳国际影城(花都店)","新华街龙珠路41号广百新一城五楼","020-36811108",113.23,23.39
401617.00,"奥斯卡曼哈顿国际影城","曼哈顿广场东北角3楼","0371-55152255",113.90,22.78
